"company_name","job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date"
"Mantys",226942,"Data Analyst","Remote","Full-time","650000.0","2023-02-20 15:13:33"
"Engtal",113606,"Senior Data Engineer (Live Streaming)","United States","Full-time","375000.0","2023-05-26 00:05:58"
"Engtal",661070,"Senior Data Engineer (ETL Pipelines)","United States","Full-time","350000.0","2023-05-29 22:25:01"
"Engtal",157003,"Data Engineer","Remote","Full-time","325000.0","2023-02-17 18:11:49"
"Engtal",220,"Senior Data Engineer (Kafka)","United States","Full-time","325000.0","2023-05-15 18:40:02"
"Engtal",66116,"Senior Data Engineer","United States","Full-time","325000.0","2023-05-07 19:13:02"
"Engtal",21321,"Data Engineer","Remote","Full-time","325000.0","2023-01-27 18:10:51"
"Harnham",1480102,"Senior Machine Learning Engineer","Remote","Full-time","325000.0","2023-02-21 22:37:17"
"Storm5",1352714,"Principal Machine Learning Engineer","Remote","Full-time","325000.0","2023-11-24 14:25:28"
"orbit",901491,"Machine Learning Engineer","Remote","Full-time","300000.0","2023-11-24 18:02:30"
"Durlston Partners",270455,"Data Engineer","Remote","Full-time","300000.0","2023-07-17 11:10:55"
"Altos Labs",11158,"Principal Data Engineer, Knowledge Graphs and Data Semantics","United States","Full-time","269500.0","2023-01-10 08:20:54"
"Storm3",235145,"Principal Data Engineer","United States","Full-time","255000.0","2023-01-23 16:06:24"
"Twitch",230458,"Director of Engineering - Data Platform","Remote","Full-time","251000.0","2023-01-30 11:07:32"
"Signify Technology",595768,"Principal Data Engineer","Remote","Full-time","250000.0","2023-02-14 15:24:07"
"AI Startup",561728,"Data Engineer","Remote","Full-time","250000.0","2023-03-24 23:32:42"
"Signify Technology",543728,"Staff Data Engineer","Remote","Full-time","250000.0","2023-03-28 13:11:42"
"Factored",824573,"Director of Data Engineering","United States","Full-time","249000.0","2023-07-20 14:04:50"
"MongoDB",367792,"Director of Engineering, ML Platform","Remote","Full-time","249000.0","2023-12-21 22:37:50"
"Handshake",204320,"Staff Data Engineer","Remote","Full-time","245000.0","2023-01-08 15:05:16"
"Movable Ink",151972,"Principal Data Engineer (Remote)","Remote","Full-time","245000.0","2023-05-25 15:05:38"
"Meta",2446,"Data Engineering Manager","Remote","Full-time","242000.0","2023-12-12 15:56:17"
"Meta",609418,"Data Engineering Manager","Remote","Full-time","242000.0","2023-12-08 14:04:41"
"GradBay",141871,"Senior Data Engineer","United States","Full-time","241500.0","2023-12-26 22:06:30"
"MongoDB",125352,"Senior Staff Engineer, Insights and Telemetry (InTel)","Remote","Full-time","240000.0","2023-12-04 20:27:31"
"Acceler8 Talent",67310,"Machine Learning Engineer","Remote","Full-time","240000.0","2023-03-27 14:29:37"
"GradBay",131527,"Senior Data Analyst","United States","Full-time","240000.0","2023-12-19 23:04:39"
"Capital One",9791,"Senior Lead Data Engineer (Remote-Eligible)","Remote","Full-time and Part-time","236500.0","2023-10-13 23:28:50"
"Rocket Lawyer",71033,"Principal Data Engineering Architect","United States","Full-time","235000.0","2023-12-08 13:04:24"
"LTK",456144,"Data Engineering Manager - Event Streaming and Real-Time Analytics","Remote","Full-time","235000.0","2023-01-09 18:22:32"
"Hinge",14251,"Staff Data Engineer","Remote","Full-time","234500.0","2023-12-19 13:11:19"
"Meta",11602,"Data Engineer, Analytics (Generalist)","Remote","Full-time","233000.0","2023-09-09 10:33:46"
"Pinterest Job Advertisements",99305,"Data Analyst, Marketing","Remote","Full-time","232423.0","2023-12-05 20:00:40"
"Snowflake",499503,"Industry Senior Principal Sales Engineer, Data Science","Remote","Full-time","230625.0","2023-06-10 09:49:03"
"Henry Schein One",173752,"Data Engineering Leader","Remote","Full-time","227630.0","2023-09-20 23:06:47"
"Datavant",562251,"Senior Software Engineer","Remote","Full-time","225000.0","2023-11-07 17:33:33"
"Understanding Recruitment",202624,"Rust Data Engineer","Remote","Full-time","225000.0","2023-09-05 09:02:44"
"Cybernetic Search",236847,"Senior Data Engineer","Remote","Full-time","225000.0","2023-09-25 18:00:59"
"Bruin",584842,"Data Engineer","United States","Full-time","225000.0","2023-02-06 09:09:40"
"Acceler8 Talent",801317,"Sr. Machine Learning Engineer","Remote","Full-time","225000.0","2023-01-06 14:33:20"
"MongoDB",1622062,"Senior Staff Engineer, Insights and Telemetry (InTel)","Remote","Full-time","224000.0","2023-12-18 22:09:37"
"MongoDB",1260479,"Senior Staff Engineer, Insights and Telemetry (InTel)","Remote","Full-time","224000.0","2023-12-12 00:28:47"
"MongoDB",303478,"Director of Engineering, ML Platform","Remote","Full-time","222000.0","2023-12-04 20:13:08"
"Brightcove",1375618,"Director, Data Engineering (Remote)","Remote","Full-time","221500.0","2023-08-16 07:23:29"
"Guild Education",51653,"Staff Data Engineer","United States","Full-time","221000.0","2023-01-31 09:06:22"
"BrightHire Search Partners Inc.",230799,"Senior Data Engineer","Remote","Full-time","220000.0","2023-10-17 16:07:30"
"Get It Recruit - Information Technology",633388,"Senior Manager of Data Engineering","Remote","Full-time","220000.0","2023-08-12 08:56:09"
"Grindr",503833,"Principal AI Data Engineer (Remote)","Remote","Full-time","220000.0","2023-11-06 19:13:01"
"Harnham",67320,"Staff Data Engineer","Remote","Full-time","220000.0","2023-02-10 20:24:11"
"MosaicML",4635,"Research Scientist / Research Engineer (Greater NYC Area, NY)","United States","Full-time","220000.0","2023-05-15 07:20:31"
